num,label
0,무직
1,관리직(임원·부서장)
2,경영·행정·사무직
3,금융·보험직
4,인문·사회과학 연구직
5,자연·생명과학 연구직
6,정보통신 연구개발직 및 공학기술직
7,건설·채굴 연구개발직 및 공학기술직
8,제조 연구개발직 및 공학기술직
9,교육직
10,법률직
11,사회복지·종교직
12,경찰·소방·교도직
13,군인
14,보건·의료직
15,예술·디자인·방송직
16,스포츠·레크리에이션직
17,미용·예식 서비스직
18,여행·숙박·오락 서비스직
19,음식 서비스직
20,경호·경비직
21,돌봄 서비스직(간병·육아)
22,청소 및 기타 개인서비스직
23,영업·판매직
24,운전·운송직
25,건설·채굴직
26,기계 설치·정비·생산직
27,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등)
28,전기·전자 설치·정비·생산직
29,정보통신 설치·정비직
30,화학·환경 설치·정비·생산직
31,섬유·의복 생산직
32,식품 가공·생산직
33,인쇄·목재·공예 및 기타 설치·정비·생산직
34,제조 단순직
35,농림어업직
